gene_id	Oocyte.1.1	Oocyte.1.2	Oocyte.1.3	cell64.128.2.1	cell64.128.2.2	cell64.128.2.3	Sphere.3.1	Sphere.3.2	Sphere.3.3	Shield.4.1	Shield.4.2	Shield.4.3	per75Epiboly.5.1	per75Epiboly.5.2	per75Epiboly.5.3	dpf1.6.1	dpf1.6.2	dpf1.6.3	cluster
XP_021326591.1|LOC110438452	-2.1638283634961115	-1.432653539126818	-1.4851994192829698	-0.813987515124242	-0.5114128421953493	-0.9125107652224699	-0.08631968286126854	0.3106110065057802	-0.14898368172646745	0.8589334954685227	0.6805976848190762	0.5886302520845629	0.7419516531381971	0.9859772703826597	0.7237581960995499	0.5085725210364085	1.069068026941996	1.0867957025590105	3
ENSDARG00000112466|vtg7.ENSDARP00000102472	-2.0487552505561717	-1.485484384501488	-1.4722207128706015	-0.8218185931325536	-0.5420669845805545	-0.966442857212665	-0.10864820238476171	0.3486575305550266	-0.18013462542908146	0.9352846686314874	0.797330809582308	0.4953651803901322	0.8536099981254023	1.1050363754937071	0.5468762591685599	0.48828220793836224	0.979871387381103	1.0752571934017447	3
ENSDARG00000039346|ndufa5.ENSDARP00000094070	1.2230591178853314	1.0293372835820667	0.8786113707154941	0.9271865937730221	0.6956045827094599	0.6105163306931981	0.5766297115021601	0.00404437915518509	0.42540745082730214	0.042421781829269305	0.08885247977302901	-0.32194118919572584	0.22020425475171032	-0.6973823110781107	-0.9050967076694982	-0.36082749086527466	-2.176653325214252	-2.259974313174306	4
ENSDARG00000111529|vtg2.ENSDARP00000148221	-2.128045156926516	-1.4246335352223956	-1.3810494008019334	-0.964393819612236	-0.6732662035863851	-0.7578507032772135	-0.14690589196153042	0.13425777707233927	0.0094717396854603	0.6081108051275824	0.5593039747794676	0.7210015904128426	0.45991330432048505	0.771503503865858	0.8168641252542632	1.037137422090403	1.221693704149129	1.1368867646303602	3
ENSDARG00000037867|atp5mf.ENSDARP00000055185	1.0428411386122431	0.4319056261716356	1.3075412853124606	0.6412232023748027	-0.8847790108139338	1.2503448380172737	-0.8268754930565612	0.7668122339510631	-0.3011706573972797	0.11613244732098751	-0.7165875793057627	0.7142800951954039	0.3119143451421996	0.4164031512479318	0.6341292547346171	-1.6034012232498371	-1.3603127684572298	-1.9404008858000525	4
ENSDARG00000014915|ndufab1b.ENSDARP00000012558	0.5972915017268476	0.6464260692028239	0.7302816157150092	0.8217474818421344	0.690876301823673	0.6352630387762982	0.6454224670401201	0.49790625054641346	0.5145075301100825	-0.508531303128665	0.25522599444390665	0.13843062008940565	0.2755267599654025	-1.5450234974607333	0.2073161440616868	-0.054838301320183996	-2.191914423345436	-2.355914250088839	4
ENSDARG00000103101|si:ch211-235e9.6.ENSDARP00000140562	1.9718125633049244	1.8801561327571992	-0.09501423743813775	0.5500048332411662	0.5037217945076313	0.6346056284360176	0.9017350851293009	0.4401815018092725	-0.8637929380521714	-0.9619278795947048	0.7587445771919648	-0.8396158930594755	-0.9552199083478848	-0.3892358936344805	-0.31373432555637915	-1.0191169017569797	-0.997381100645684	-1.2059230382915875	2
ENSDARG00000071378|micos13.ENSDARP00000096258	0.5999560099339576	1.1867286312255727	0.7790827846922176	0.6774982038967173	0.3494406756839934	0.6332356938858078	0.3188169316109381	0.1446924798818017	0.4939842637316375	-0.2380462621770876	0.01956010389921729	0.05004366560037805	0.0960362287890552	0.4130482026829712	0.005975668107206866	-0.7646552952674395	-1.6419459534540726	-3.1234520327229123	4
ENSDARG00000010717|chchd10.ENSDARP00000005265	0.5922585882034346	0.44937872652150473	0.48052807089137156	0.4152400973895057	0.3838150482038963	0.35912018609692953	0.33753464489483526	0.2899823571815392	0.36461665933689913	0.19714273343856137	0.24824365429067746	0.14588255372791092	0.2673071339574488	0.20802101312257446	0.1775449562846221	-1.329076194809568	0.07264691083620266	-3.6601871395683503	4
ENSDARG00000078429|vtg4.ENSDARP00000115012	-2.2089195255805767	-1.460430835894425	-1.5344625028433903	-0.7010935454701829	-0.40027966601040627	-0.820386170416862	-0.22620692172696802	0.3378812512011771	-0.1569904436681047	1.0973869763159931	0.5346819727167353	0.6326080101976733	1.0168279855350146	1.027172939968926	0.6684002623167051	0.5132108011199663	0.7487528104179184	0.9318466018207975	3
ENSDARG00000030765|hadh.ENSDARP00000050602	1.474455957881937	1.4405595656489698	0.2556328692579706	0.860901544755783	0.6840818027983449	1.3061658854025073	0.35932152525332534	0.19947669380455352	-0.11305166749583306	-0.7612359981773933	-0.4529106759707637	-0.11723984674364293	-0.2707230671776246	0.11156651190952104	-0.2553083041202526	-0.6770266121251691	-2.047294061601261	-1.9973721233009132	2
ENSDARG00000070487|marc1.ENSDARP00000094269	0.45766067655008436	0.12181347297159187	0.6060785710350182	0.8721886318342851	0.6441521576761612	0.9672623335754603	0.9686206657489573	0.36862541059092635	0.3071248797069702	-0.04916058948670899	0.10463487078037977	-0.11268431472187566	-0.1029036637362019	-0.07750534815337107	0.33884254989241064	-2.3318635696964765	-0.36213369042073223	-2.7207530441469006	4
ENSDARG00000045428|mcee.ENSDARP00000142637	1.0030868360818865	0.8663058987826787	0.852891535143425	0.9636267732769638	0.5815375213799462	0.12250270026325273	0.79872170572889	0.44382660185175604	0.020377961154653804	-0.13561686348498797	0.03627898721187012	0.2612629954058681	-0.21663294308336742	-0.28840952658186064	0.35607113271913043	-1.1724736051299074	-1.7062647642054072	-2.7870929465148193	4
